sprintId,sprintName,projectName,sprintStartDate,sprintEndDate,storyPoints,sprintDurationPassed,sprintDurationEstimated,parentKey,parentId,sprintStatus,storyKey,isSubTask,storyType,timeSpent,storyStatus,storystatus(list),sprintDurationEstimated(in hours),sprintDurationPassed(in hours),sprintDurationDifference(in hours),parentId(List)
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,949035,604748,-,-,active,HIVERSE-9592,False,Story,0,To Do,not done,167.98555555555555,263.62083333333334,95.63527777777779,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,3,1118233,604748,-,-,active,HIVERSE-9501,False,Story,0,In Progress,not done,167.98555555555555,310.6202777777778,142.63472222222225,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,5,1118233,604748,-,-,active,HIVERSE-9504,False,Story,0,To Do,not done,167.98555555555555,310.6202777777778,142.63472222222225,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,1229835,604748,-,-,active,HIVERSE-9660,False,Bug,"10,800",Q.A Testing,not done,167.98555555555555,341.62083333333334,173.6352777777778,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,2155033,604748,-,-,active,HIVERSE-9842,False,Bug,0,To Do,not done,167.98555555555555,598.6202777777778,430.63472222222225,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,1,1913833,604748,-,-,active,HIVERSE-9268,False,Story,0,To Do,not done,167.98555555555555,531.6202777777778,363.63472222222225,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,1723034,604748,-,-,active,HIVERSE-9689,False,Story,0,To Do,not done,167.98555555555555,478.62055555555554,310.635,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,0,2777832,604748,-,-,active,HIVERSE-9875,False,Story,0,To Do,not done,167.98555555555555,771.62,603.6344444444444,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,8,2849832,604748,-,-,active,HIVERSE-9713,False,Story,0,In Progress,not done,167.98555555555555,791.62,623.6344444444444,No Parent
"1,407",HIVERSE - Sprint 79,Hiverse,7/27/2023,8/3/2023,1,2849832,604748,-,-,active,HIVERSE-9152,False,Story,"3,600",Q.A Testing,not done,167.98555555555555,791.62,623.6344444444444,No Parent
